tracking_number,order_id,delivery_date,delivery_status,recipient,delivery_address
1Z734237416355234265,O20250064,2025-04-17,Delivered,Raj Wilson,"525 Crawford Expressway, Sacramento, California, 21209, USA"
1Z343666262565438671,O20250041,2025-04-17,Delivered,Tariq Lee,"71389 Taylor Island Apt. 787, Seattle, Washington, 55947, USA"
1Z804558240208893403,O20250050,2025-04-17,Delivered,Chloe Moore,"304 Fritz Isle Suite 049, Seattle, Washington, 78261, USA"
1Z489321786472328641,O20250068,2025-04-17,Delivered,Aisha Ramirez,"18236 Marsh Unions Apt. 058, Seattle, Washington, 48757, USA"
1Z903240607507544227,O20250070,2025-04-17,Delivered,Jamal Ali,"4124 Jensen River Suite 551, Seattle, Washington, 54288, USA"
1Z145211396026296350,O20250072,2025-04-17,Delivered,Daniel Lopez,"939 Matthew Dale, Seattle, Washington, 58731, USA"
1Z550723596698463217,O20250076,2025-04-17,Delivered,Leila Brown,"70954 Williams Skyway Apt. 446, Seattle, Washington, 85350, USA"
1Z419924660905264762,O20250079,2025-04-17,Delivered,Miguel Ali,"089 Mcdaniel Ford Apt. 332, Seattle, Washington, 29455, USA"
1Z905976420070367601,O20250080,2025-04-17,Delivered,Kenji Wilson,"5035 Pratt Forest Apt. 615, Seattle, Washington, 20039, USA"
1Z310749755786242530,O20250084,2025-04-17,Delivered,Hassan Martinez,"39060 Dana Divide, Seattle, Washington, 19752, USA"
