tracking_number,order_id,delivery_date,delivery_status,recipient,delivery_address
1Z673477639365682086,O20250028,2025-04-15,Delivered,Leila Moore,"038 Emily Circles, Los Angeles, California, 53658, USA"
1Z650235641225231711,O20250030,2025-04-15,Delivered,Daniel Kim,"151 Aguirre Expressway Apt. 591, Eugene, Oregon, 47326, USA"
1Z665831244032364308,O20250040,2025-04-15,Delivered,Leila Moore,"038 Emily Circles, Los Angeles, California, 53658, USA"
1Z329582799654459555,O20250026,2025-04-15,Delivered,Jamal Ali,"4124 Jensen River Suite 551, Seattle, Washington, 54288, USA"
1Z892509297812395709,O20250051,2025-04-15,Delivered,Tariq Wang,"542 Figueroa Drive, Seattle, Washington, 63939, USA"
1Z416240692923288871,O20250052,2025-04-15,Delivered,Aisha Ramirez,"952 Harmon Cape, Seattle, Washington, 36287, USA"
1Z551863689388722328,O20250053,2025-04-15,Delivered,Kenji Wilson,"5035 Pratt Forest Apt. 615, Seattle, Washington, 20039, USA"
1Z493612060299185539,O20250054,2025-04-15,Delivered,Isabella Johnson,"6101 Tina Courts, Seattle, Washington, 59051, USA"
1Z130267984314592427,O20250056,2025-04-15,Delivered,Raj Garcia,"457 Burke Pine, Seattle, Washington, 06288, USA"
1Z623826779467792945,O20250059,2025-04-15,Delivered,Leila Brown,"70954 Williams Skyway Apt. 446, Seattle, Washington, 85350, USA"
1Z137999152138620633,O20250062,2025-04-15,Delivered,Noah Anderson,"08810 Edwards Fall, Seattle, Washington, 97313, USA"
1Z656871231616410785,O20250063,2025-04-15,Delivered,Kenji Kim,"7925 Schmidt Union Suite 619, Seattle, Washington, 68084, USA"
1Z475766142339225947,O20250066,2025-04-15,Delivered,Noah Moore,"1414 Franklin Fork Apt. 385, Seattle, Washington, 86266, USA"
1Z131684000928014650,O20250067,2025-04-15,Delivered,Tariq Ali,"9920 Jeanne Views Suite 821, Seattle, Washington, 83206, USA"
