tracking_number,order_id,ship_date,carrier,shipping_status,estimated_delivery_date,recipient,shipping_address
1Z662588431730700053,O20250025,2025-04-12,UPS,Shipped,2025-04-15,Leila Brown,"70954 Williams Skyway Apt. 446, Seattle, Washington, 85350, USA"
1Z673477639365682086,O20250028,2025-04-12,UPS,Shipped,2025-04-14,Leila Moore,"038 Emily Circles, Los Angeles, California, 53658, USA"
1Z650235641225231711,O20250030,2025-04-12,UPS,Shipped,2025-04-15,Daniel Kim,"151 Aguirre Expressway Apt. 591, Eugene, Oregon, 47326, USA"
1Z908621593702685767,O20250032,2025-04-12,UPS,Shipped,2025-04-15,Miguel Ali,"089 Mcdaniel Ford Apt. 332, Seattle, Washington, 29455, USA"
1Z852529445658657109,O20250034,2025-04-12,UPS,Shipped,2025-04-14,Leila Ramirez,"31845 Wells Turnpike, Seattle, Washington, 49890, USA"
1Z367296773569903426,O20250038,2025-04-12,UPS,Shipped,2025-04-14,Hassan Davis,"0955 Espinoza Vista Apt. 969, Bellevue, Washington, 06172, USA"
1Z697683967768737686,O20250039,2025-04-12,UPS,Shipped,2025-04-16,Hassan Martinez,"39060 Dana Divide, Seattle, Washington, 19752, USA"
1Z665831244032364308,O20250040,2025-04-12,UPS,Shipped,2025-04-16,Leila Moore,"038 Emily Circles, Los Angeles, California, 53658, USA"
1Z530643499171871521,O20250044,2025-04-12,UPS,Shipped,2025-04-14,Jamal Ali,"4124 Jensen River Suite 551, Seattle, Washington, 54288, USA"
1Z712063053805436887,O20250045,2025-04-12,UPS,Shipped,2025-04-14,Hassan Martinez,"39060 Dana Divide, Seattle, Washington, 19752, USA"
