OrderID,OrderDate,CustomerName,CustomerEmail,ShippingAddress,ProductName,SKU,Quantity,PriceEach,ShippingMethod,TrackingRequired,Status,EtsyFee,ShippingFee,TotalPaid,NetPayout
ETSY-1000,2025-04-03 23:35:06,Kimberly Yoder,mharris@yahoo.com,"1257 Andrew Light Apt. 006, East Michaelborough, MN 77542",Lavender Oil,PO1001,1,16.39,Standard,Yes,Paid,0.9834,3.0,19.39,18.4066
ETSY-1001,2025-03-18 07:48:54,Lynn Walters,amartinez@kelly.com,"528 Kyle Burg Suite 115, Port Stephanieberg, NV 81433",Tea Tree Oil,PO1004,3,10.29,Expedited,No,Paid,1.8521999999999998,5.0,35.87,34.017799999999994
ETSY-1002,2025-03-09 14:11:55,David Powell,xbutler@hotmail.com,"6578 Lyons Rue, Port Zacharyhaven, NE 04907",Lavender Oil,PO1001,3,22.31,Expedited,Yes,Paid,4.0158,5.0,71.92999999999999,67.9142
ETSY-1003,2025-03-20 19:15:30,Michele Curtis,james35@hotmail.com,"4228 Benson Hollow Suite 007, North Garrettchester, MD 15435",Eucalyptus Oil,PO1003,1,21.91,Expedited,Yes,Paid,1.3146,5.0,26.91,25.5954
ETSY-1004,2025-03-13 10:58:57,Stephanie Ball,umacdonald@yahoo.com,"685 Randy Expressway Suite 453, Elizabethview, OR 38463",Lavender Oil,PO1001,2,23.45,Expedited,Yes,Paid,2.8139999999999996,5.0,51.9,49.086
ETSY-1005,2025-03-31 07:43:52,Jerry Anderson,ngonzalez@hotmail.com,"PSC 5367, Box 9045, APO AP 63862",Lavender Oil,PO1001,3,15.56,Standard,Yes,Paid,2.8007999999999997,3.0,49.68,46.8792
ETSY-1006,2025-04-03 20:01:42,Francisco Morales,ibarrachristopher@yahoo.com,"9700 Dawson Villages Apt. 933, East Shanemouth, VT 84704",Lemon Oil,PO1005,2,20.37,Standard,No,Paid,2.4444,3.0,43.74,41.2956
ETSY-1007,2025-04-06 18:28:07,Katie King,bradley09@yahoo.com,"60000 Williams Extension Suite 184, West Marvin, NH 18839",Lavender Oil,PO1001,2,16.43,Expedited,Yes,Paid,1.9715999999999998,5.0,37.86,35.8884
ETSY-1008,2025-03-20 18:54:05,Doris Hines,crystal67@hotmail.com,"1370 Sandoval Turnpike Apt. 883, New Timothytown, DC 82192",Tea Tree Oil,PO1004,2,15.31,Expedited,No,Paid,1.8372,5.0,35.620000000000005,33.7828
ETSY-1009,2025-03-25 22:20:33,Mackenzie Saunders,dfitzgerald@hotmail.com,"66060 Amanda Well, Rogertown, NY 67059",Lemon Oil,PO1005,2,15.3,Standard,Yes,Paid,1.836,3.0,33.6,31.764000000000003
